model,type,family,run_idx,sentence
claude-sonnet-4.6,LLM,claude,1,The rat the cat the dog the boy owned chased caught squeaked.
claude-sonnet-4.6,LLM,claude,1,The book the student the teacher the principal hired taught read disappeared.
claude-sonnet-4.6,LLM,claude,1,The cake the girl the woman the chef trained taught baked crumbled.
claude-sonnet-4.6,LLM,claude,1,The ball the child the coach the director appointed trained kicked bounced.
claude-sonnet-4.6,LLM,claude,1,The song the choir the conductor the dean recruited led performed echoed.
claude-sonnet-4.6,LLM,claude,2,The cat that the dog that the child that the woman raised trained chased slept.
claude-sonnet-4.6,LLM,claude,2,The book that the scholar that the professor that the dean hired supervised published vanished.
claude-sonnet-4.6,LLM,claude,2,The mouse that the owl that the hawk that the storm startled frightened cornered fled.
claude-sonnet-4.6,LLM,claude,2,The painting that the critic that the curator that the collector funded employed reviewed faded.
claude-sonnet-4.6,LLM,claude,2,The song that the singer that the coach that the school appointed trained performed echoed.
claude-sonnet-4.6,LLM,claude,3,The cat that the dog that the rat that the boy chased bit scratched meowed loudly.
claude-sonnet-4.6,LLM,claude,6,The cake the guest the chef the critic reviewed hired baked ate.
claude-sonnet-4.6,LLM,claude,6,The letter the clerk the manager the director appointed hired wrote sent.
claude-sonnet-4.6,LLM,claude,7,The cat that the dog that the rat that the boy chased bit scratched meowed.
claude-sonnet-4.6,LLM,claude,7,The book that the scholar that the university that the city funded established read crumbled.
claude-sonnet-4.6,LLM,claude,7,The fish that the seal that the shark that the diver spotted hunted caught flipped.
claude-sonnet-4.6,LLM,claude,7,The law that the judge that the court that the senate formed appointed upheld changed.
claude-sonnet-4.6,LLM,claude,7,The song that the choir that the school that the town built opened trained performed faded.
claude-sonnet-4.6,LLM,claude,8,The cake that the chef that the critic that the journalist interviewed praised baked disappeared quickly.
claude-sonnet-4.6,LLM,claude,9,The cat that the dog that the child that the woman raised trained chased fled.
claude-sonnet-4.6,LLM,claude,10,The man the woman the child the dog bit scared loved left.
claude-sonnet-4.6,LLM,claude,10,The book the student the teacher the principal hired assigned read disappeared.
claude-sonnet-4.6,LLM,claude,11,The book that the professor that the student that the librarian helped taught assigned confused everyone.
claude-sonnet-4.6,LLM,claude,11,The treaty that the diplomat that the minister that the council appointed advised drafted collapsed overnight.
claude-sonnet-4.6,LLM,claude,12,The cake the chef the critic the editor praised interviewed baked crumbled.
claude-sonnet-4.6,LLM,claude,13,The dog the cat the rat the elephant chased caught bit barked.
claude-sonnet-4.6,LLM,claude,13,The book the student the teacher the principal admired assigned read disappeared.
claude-sonnet-4.6,LLM,claude,14,The proposal the committee the director the board elected formed reviewed passed.
claude-sonnet-4.6,LLM,claude,14,The letter the secretary the manager the CEO hired trained wrote arrived late.
claude-sonnet-4.6,LLM,claude,16,The cat the dog the rat the elephant chased bit scratched fled.
claude-sonnet-4.6,LLM,claude,16,The book the student the teacher the principal hired assigned read disappeared.
claude-sonnet-4.6,LLM,claude,16,The cake the child the mother the baker trained made ate crumbled.
claude-sonnet-4.6,LLM,claude,16,The letter the clerk the lawyer the judge appointed wrote signed burned.
claude-sonnet-4.6,LLM,claude,16,The song the fan the artist the label signed recorded loved faded.
claude-sonnet-4.6,LLM,claude,17,The surgeon that the lawyer that the judge that the jury acquitted sentenced operated recovered.
claude-sonnet-4.6,LLM,claude,17,The wolf that the dog that the cat that the mouse startled chased hunted fled.
claude-sonnet-4.6,LLM,claude,17,The bill that the senator that the lobbyist that the activist pressured influenced drafted passed.
claude-sonnet-4.6,LLM,claude,17,The report that the editor that the journalist that the source contacted interviewed wrote published.
claude-sonnet-4.6,LLM,claude,17,The cake that the chef that the student that the teacher trained hired baked disappeared.
claude-sonnet-4.6,LLM,claude,18,The cat that the dog that the boy that the girl loved owned chased ran away.
claude-sonnet-4.6,LLM,claude,18,The book that the professor that the student that the dean hired taught assigned confused everyone.
claude-sonnet-4.6,LLM,claude,18,The car that the man that the woman that the child saw knew drove crashed yesterday.
claude-sonnet-4.6,LLM,claude,18,The song that the band that the label that the investor funded signed recorded played beautifully.
claude-sonnet-4.6,LLM,claude,18,The letter that the lawyer that the firm that the client retained hired wrote arrived today.
claude-sonnet-4.6,LLM,claude,19,The cat that the dog that the man that the woman saw owned chased ran away.
claude-sonnet-4.6,LLM,claude,19,The book that the student that the teacher that the principal hired trained read fell apart.
claude-sonnet-4.6,LLM,claude,19,The cake that the chef that the critic that the journalist interviewed praised baked disappeared quickly.
claude-sonnet-4.6,LLM,claude,20,The cake that the baker that the customer that the waiter served complained to made burned.
claude-sonnet-4.6,LLM,claude,21,The mouse that the cat that the dog that the boy owned chased caught squeaked loudly.
claude-sonnet-4.6,LLM,claude,21,The proposal that the committee that the director that the board appointed formed reviewed failed immediately.
claude-sonnet-4.6,LLM,claude,22,The cat that the dog that the man that the woman saw met chased ran.
claude-sonnet-4.6,LLM,claude,22,The report that the editor that the journalist that the source contacted interviewed revised collapsed.
claude-sonnet-4.6,LLM,claude,22,The cake that the baker that the chef that the critic praised hired made crumbled.
claude-sonnet-4.6,LLM,claude,22,The letter that the clerk that the lawyer that the judge appointed hired wrote vanished.
claude-sonnet-4.6,LLM,claude,22,The song that the singer that the producer that the label signed discovered performed ended.
claude-sonnet-4.6,LLM,claude,23,The vase that the collector that the museum that the city funded acquired displayed shattered.
claude-sonnet-4.6,LLM,claude,23,The manuscript that the scholar that the university that the grant supported hired translated vanished.
claude-sonnet-4.6,LLM,claude,23,The painting that the critic that the gallery that the patron endowed employed praised faded.
claude-sonnet-4.6,LLM,claude,23,The statue that the restorer that the institute that the donor established trained preserved crumbled.
claude-sonnet-4.6,LLM,claude,23,The gem that the jeweler that the house that the merchant built employed polished disappeared.
claude-sonnet-4.6,LLM,claude,25,The bridge that the engineer that the firm that the city contracted hired designed collapsed yesterday.
claude-sonnet-4.6,LLM,claude,25,The law that the senator that the lobbyist that the corporation funded influenced sponsored passed narrowly.
claude-sonnet-4.6,LLM,claude,26,The apprentice that the mentor that the director that the board appointed hired supervised excelled remarkably.
claude-sonnet-4.6,LLM,claude,27,The cat that the dog that the fox that the wolf chased bit scratched fled.
claude-sonnet-4.6,LLM,claude,27,The child that the teacher that the principal that the board hired appointed praised succeeded.
claude-sonnet-4.6,LLM,claude,27,The fish that the shark that the whale that the diver spotted followed hunted escaped.
claude-sonnet-4.6,LLM,claude,27,The soldier that the general that the king that the council crowned commanded deployed retreated.
claude-sonnet-4.6,LLM,claude,27,The bird that the hawk that the snake that the mongoose cornered threatened pursued soared.
claude-sonnet-4.6,LLM,claude,28,The cat that the dog that the mouse that the child chased caught scared ran.
claude-sonnet-4.6,LLM,claude,28,The book that the student that the teacher that the principal hired trained read disappeared.
claude-sonnet-4.6,LLM,claude,28,The car that the man that the woman that the boy loved married drove crashed.
claude-sonnet-4.6,LLM,claude,28,The cake that the chef that the critic that the editor interviewed praised baked crumbled.
claude-sonnet-4.6,LLM,claude,28,The song that the band that the producer that the label signed managed recorded faded.
claude-sonnet-4.6,LLM,claude,30,The proposal the committee the board the CEO appointed formed reviewed failed.
claude-sonnet-4.6,LLM,claude,30,The letter the lawyer the firm the judge praised employed drafted arrived.
claude-sonnet-4.6,LLM,claude,30,The cake the baker the shop the woman owned hired made tasted wonderful.
claude-sonnet-4.6-think,LRM,claude,2,The cheese the rat the cat the dog chased killed ate smelled.
claude-sonnet-4.6-think,LRM,claude,2,The car the mechanic the boss the owner hired fired fixed broke.
claude-sonnet-4.6-think,LRM,claude,2,The letter the secretary the manager the CEO promoted demoted typed arrived.
claude-sonnet-4.6-think,LRM,claude,2,The song the musician the producer the label signed dropped recorded charted.
claude-sonnet-4.6-think,LRM,claude,4,The cat that the dog that the rat that the man caught chased bit died.
claude-sonnet-4.6-think,LRM,claude,4,The professor that the student that the paper that the committee reviewed impressed satisfied retired.
claude-sonnet-4.6-think,LRM,claude,4,The house that the builder that the architect that the client approved hired constructed collapsed.
claude-sonnet-4.6-think,LRM,claude,4,The bill that the senator that the lobbyist that the company funded influenced passed failed.
claude-sonnet-4.6-think,LRM,claude,4,The symphony that the conductor that the musician that the teacher trained impressed led succeeded.
claude-sonnet-4.6-think,LRM,claude,5,The article the journalist the editor the publisher employed assigned wrote won.
claude-sonnet-4.6-think,LRM,claude,7,The bill the senator the aide the lobbyist hired supported opposed passed.
claude-sonnet-4.6-think,LRM,claude,7,The paper the student the professor the committee selected failed wrote won.
claude-sonnet-4.6-think,LRM,claude,7,The letter the secretary the manager the director appointed supervised typed arrived.
claude-sonnet-4.6-think,LRM,claude,7,The film the director the studio the investor backed hired made succeeded.
claude-sonnet-4.6-think,LRM,claude,9,The rat the cat the dog the man owned bit chased died.
claude-sonnet-4.6-think,LRM,claude,9,The book the student the professor the dean hired taught read disappeared.
claude-sonnet-4.6-think,LRM,claude,9,The cake the child the woman the baker trained fed ate vanished.
claude-sonnet-4.6-think,LRM,claude,9,The report the editor the journalist the politician hired contacted reviewed leaked.
claude-sonnet-4.6-think,LRM,claude,9,The letter the secretary the manager the CEO hired supervised filed vanished.
claude-sonnet-4.6-think,LRM,claude,11,The rat that the cat that the dog that the man trained chased caught died.
claude-sonnet-4.6-think,LRM,claude,11,The book that the student that the professor that the dean hired taught read disappeared.
claude-sonnet-4.6-think,LRM,claude,11,The cheese that the mouse that the cat that the dog frightened chased ate spoiled.
claude-sonnet-4.6-think,LRM,claude,11,The letter that the secretary that the manager that the CEO appointed supervised wrote arrived.
claude-sonnet-4.6-think,LRM,claude,11,The flower that the bee that the bird that the child startled watched visited bloomed.
claude-sonnet-4.6-think,LRM,claude,12,The cat the dog the rat the elephant scared bit chased ran.
claude-sonnet-4.6-think,LRM,claude,12,The man the woman the child the dog bit scared loved left.
claude-sonnet-4.6-think,LRM,claude,12,The paper the analyst the professor the committee appointed supervised wrote circulated widely.
claude-sonnet-4.6-think,LRM,claude,12,The house the family the agent the bank funded hired bought burned down.
claude-sonnet-4.6-think,LRM,claude,13,The rat the cat the dog the man bit chased caught died.
claude-sonnet-4.6-think,LRM,claude,13,The paper the student the professor the dean hired supervised wrote impressed everyone.
claude-sonnet-4.6-think,LRM,claude,13,The cake the child the mother the father scolded raised baked tasted wonderful.
claude-sonnet-4.6-think,LRM,claude,13,The film the critic the editor the director chose hired reviewed won awards.
claude-sonnet-4.6-think,LRM,claude,14,The letter the clerk the manager the CEO promoted hired wrote reached headquarters.
claude-sonnet-4.6-think,LRM,claude,14,The trophy the athlete the coach the federation appointed trained won gleamed brightly.
claude-sonnet-4.6-think,LRM,claude,14,The report the analyst the director the board selected appointed wrote impressed everyone.
claude-sonnet-4.6-think,LRM,claude,15,The report the analyst the manager the CEO hired supervised reviewed contained errors.
claude-sonnet-4.6-think,LRM,claude,15,The film the critic the editor the publisher praised employed reviewed won awards.
claude-sonnet-4.6-think,LRM,claude,16,The rat the cat the dog the man kicked bit chased died.
claude-sonnet-4.6-think,LRM,claude,16,The book the student the teacher the professor praised taught read fell.
claude-sonnet-4.6-think,LRM,claude,16,The child the woman the man the doctor examined treated comforted cried.
claude-sonnet-4.6-think,LRM,claude,16,The cake the baker the chef the critic praised trained made burned.
claude-sonnet-4.6-think,LRM,claude,16,The song the musician the conductor the audience applauded hired performed echoed.
claude-sonnet-4.6-think,LRM,claude,18,The cake the chef the restaurant the critic reviewed employed baked tasted delicious.
claude-sonnet-4.6-think,LRM,claude,21,The dog the cat the mouse the rat chased bit attacked ran.
claude-sonnet-4.6-think,LRM,claude,22,The rat the cat the dog the man owned bit chased died.
claude-sonnet-4.6-think,LRM,claude,22,The letter the clerk the boss the CEO hired fired wrote arrived.
claude-sonnet-4.6-think,LRM,claude,22,The house the contractor the firm the investors funded hired built collapsed.
claude-sonnet-4.6-think,LRM,claude,22,The song the singer the producer the label signed discovered recorded charted.
claude-sonnet-4.6-think,LRM,claude,22,The bill the senator the lobbyist the corporation funded backed introduced passed.
claude-sonnet-4.6-think,LRM,claude,23,The man the woman the child the dog frightened loved met left.
claude-sonnet-4.6-think,LRM,claude,23,The letter the secretary the boss the client contacted hired wrote arrived.
claude-sonnet-4.6-think,LRM,claude,25,The rat that the cat that the dog that the man owned trained chased died.
claude-sonnet-4.6-think,LRM,claude,25,The book that the student that the professor that the dean hired taught read sold.
claude-sonnet-4.6-think,LRM,claude,25,The play that the actor that the director that the producer funded hired staged succeeded.
claude-sonnet-4.6-think,LRM,claude,25,The experiment that the student that the scientist that the university employed supervised conducted failed.
claude-sonnet-4.6-think,LRM,claude,25,The bill that the senator that the lobbyist that the corporation hired persuaded introduced passed.
claude-sonnet-4.6-think,LRM,claude,26,The rat the cat the dog the man kept chased caught died.
claude-sonnet-4.6-think,LRM,claude,26,The report the analyst the manager the CEO hired supervised wrote circulated.
claude-sonnet-4.6-think,LRM,claude,26,The song the child the teacher the school employed trained sang echoed.
claude-sonnet-4.6-think,LRM,claude,26,The letter the secretary the lawyer the firm retained hired typed vanished.
claude-sonnet-4.6-think,LRM,claude,26,The flower the bee the bird the gardener loved watched followed bloomed.
claude-sonnet-4.6-think,LRM,claude,28,The letter the secretary the manager the director hired trained wrote arrived late.
claude-sonnet-4.6-think,LRM,claude,28,The report the intern the editor the publisher hired supervised wrote impressed everyone.
claude-sonnet-4.6-think,LRM,claude,29,The dog the cat the rat the cheese attracted bit chased barked.
claude-sonnet-4.6-think,LRM,claude,29,The president the senator the lobbyist the corporation funded bribed influenced resigned.
claude-sonnet-4.6-think,LRM,claude,29,The river the dam the engineers the government employed built blocked flooded.
claude-sonnet-4.6-think,LRM,claude,29,The audience the actor the director the producer hired praised watched applauded.
claude-sonnet-4.6-think,LRM,claude,29,The child the teacher the principal the parents concerned summoned disciplined cried.
deepseek-r1,LRM,deepseek,1,The king the knight the squire the page praised advised protected ruled.
deepseek-r1,LRM,deepseek,1,The plankton the fish the seal the bear consumed swallowed hunted drifted.
deepseek-r1,LRM,deepseek,1,The student the teacher the principal the superintendent evaluated directed instructed studied.
deepseek-r1,LRM,deepseek,1,The child the mother the father the boss fired scolded comforted played.
deepseek-r1,LRM,deepseek,1,The seed the soil the rain the cloud nourished soaked softened sprouted.
deepseek-r1,LRM,deepseek,2,the table the cheese the mouse the cat chased nibbled soiled collapsed.
deepseek-r1,LRM,deepseek,2,the king the knight the princess the dragon captured threatened warned worried.
deepseek-r1,LRM,deepseek,2,the school the principal the teacher the student admired commended managed flourished.
deepseek-r1,LRM,deepseek,2,the family the house the roof the rain pounded protected sheltered slept.
deepseek-r1,LRM,deepseek,2,the boy the drink the ice the sun melted cooled refreshed smiled.
deepseek-r1,LRM,deepseek,3,The mountain the valley the river the forest towered sprawled flowed flourished.
deepseek-r1,LRM,deepseek,3,The teacher the student the book the lesson explained listened read learned.
deepseek-r1,LRM,deepseek,3,The chef the knife the ingredients the meal chopped stirred cooked served.
deepseek-r1,LRM,deepseek,3,The wind the leaves the branches the trees rustled swayed creaked bent.
deepseek-r1,LRM,deepseek,3,The conductor the orchestra the audience the symphony directed played applauded ended.
deepseek-r1,LRM,deepseek,4,"The king, the knight, the dragon, the princess subdued, obeyed, protected, reigned."
deepseek-r1,LRM,deepseek,4,"The tree, the squirrel, the acorn, the storm dislodged, struck, climbed, swayed."
deepseek-r1,LRM,deepseek,4,"The teacher, the student, the textbook, the author revised, studied, assisted, lectured."
deepseek-r1,LRM,deepseek,4,"The mountain, the hiker, the path, the landslide buried, blocked, ascended, towered."
deepseek-r1,LRM,deepseek,4,"The chef, the customer, the meal, the waiter served, enjoyed, thanked, cooked."
deepseek-r1,LRM,deepseek,6,The wind the leaves the trees the branches rustles shakes bends sways.
deepseek-r1,LRM,deepseek,6,The sun the sea the waves the sand shines sparkles crashes spreads.
deepseek-r1,LRM,deepseek,6,The chef the knife the onion the pan chops dices sizzles fries.
deepseek-r1,LRM,deepseek,6,The cat the mouse the hole the cheese chases scurries hides nibbles.
deepseek-r1,LRM,deepseek,6,The clock the hour the minute the second ticks tocks moves advances.
deepseek-r1,LRM,deepseek,7,"The chef, the waiter, the customer, the meal praised, enjoyed, served, prepared."
deepseek-r1,LRM,deepseek,7,"The king, the knight, the dragon, the treasure guarded, fought, protected, ruled."
deepseek-r1,LRM,deepseek,7,"The baker, the dough, the oven, the bread baked, heated, rose, kneaded."
deepseek-r1,LRM,deepseek,7,"The teacher, the student, the book, the lesson explained, read, studied, taught."
deepseek-r1,LRM,deepseek,8,The cat the dog the ball the tree jumped ran rolled fell.
deepseek-r1,LRM,deepseek,8,The sun the moon the stars the sky shone glowed twinkled darkened.
deepseek-r1,LRM,deepseek,8,The king the queen the prince the princess ruled waved smiled bowed.
deepseek-r1,LRM,deepseek,8,The wind the rain the thunder the lightning blew poured rumbled flashed.
deepseek-r1,LRM,deepseek,8,The car the bike the bus the train accelerated braked stopped arrived.
deepseek-r1,LRM,deepseek,9,the ball the child the dog the man threw chased kicked bounced.
deepseek-r1,LRM,deepseek,9,the window the student the teacher the principal reprimanded scolded broke shattered.
deepseek-r1,LRM,deepseek,9,the cake the baker the assistant the chef instructed supervised decorated cooled.
deepseek-r1,LRM,deepseek,9,the letter the clerk the manager the director approved reviewed signed arrived.
deepseek-r1,LRM,deepseek,9,the door the guard the visitor the officer questioned frisked opened creaked.
deepseek-r1,LRM,deepseek,10,The cake that the child that the baker that the customer praised instructed sampled tasted delicious.
deepseek-r1,LRM,deepseek,10,The report that the manager that the analyst that the intern assisted trained wrote impressed everyone.
deepseek-r1,LRM,deepseek,10,The theorem that the professor that the student that the university recruited mentored proved revolutionized mathematics.
deepseek-r1,LRM,deepseek,19,"The cat, the dog, the bird, the fish swam, chirped, barked, purred."
deepseek-r1,LRM,deepseek,19,"The wind, the leaves, the rain, the sun shone, fell, rustled, blew."
deepseek-r1,LRM,deepseek,19,"The teacher, the students, the books, the bell rang, opened, studied, taught."
deepseek-r1,LRM,deepseek,19,"The chef, the waiter, the customers, the food arrived, ate, served, cooked."
deepseek-r1,LRM,deepseek,19,"The car, the bike, the bus, the train departed, stopped, raced, accelerated."
deepseek-r1,LRM,deepseek,23,"The mountain, the river, the forest, the sky darkened, rustled, flowed, stood."
deepseek-r1,LRM,deepseek,23,"The lion, the deer, the rabbit, the owl hooted, hopped, grazed, roared."
deepseek-r1,LRM,deepseek,23,"The book, the pen, the paper, the desk creaked, rustled, wrote, opened."
deepseek-r1,LRM,deepseek,23,"The morning, the sun, the clouds, the breeze blew, drifted, rose, began."
deepseek-r1,LRM,deepseek,23,"The chef, the knife, the vegetables, the stove heated, sizzled, chopped, cooked."
deepseek-r1,LRM,deepseek,24,The sun the moon the stars the sky sparkled shone faded twinkled.
deepseek-r1,LRM,deepseek,24,The cat the dog the ball the park chased barked played fetched.
deepseek-r1,LRM,deepseek,24,The teacher the student the book the pen lectured studied read wrote.
deepseek-r1,LRM,deepseek,24,The wind the leaves the trees the branches rustled shook swayed bent.
deepseek-r1,LRM,deepseek,24,The child the toy the parent the pet hugged watched smiled played.
deepseek-r1,LRM,deepseek,25,The king the knight the dragon the princess rescued defeated praised laughed.
deepseek-r1,LRM,deepseek,25,The teacher the student the book the author wrote inspired discussed yawned.
deepseek-r1,LRM,deepseek,25,The dog the cat the mouse the cheese ate chased frightened slept.
deepseek-r1,LRM,deepseek,25,The sun the rain the cloud the wind formed produced obscured shone.
deepseek-r1,LRM,deepseek,25,The audience the actor the script the writer wrote inspired moved applauded.
deepseek-r1,LRM,deepseek,26,"The ocean, the sea, the bay, the pond; drip, flow, surge, flood."
deepseek-r1,LRM,deepseek,26,"The nation, the province, the city, the neighborhood; whisper, speak, announce, broadcast."
deepseek-r1,LRM,deepseek,26,"The forest, the grove, the tree, the leaf; tremble, sway, bend, flourish."
deepseek-r1,LRM,deepseek,26,"The century, the decade, the year, the day; blink, pass, progress, unfold."
deepseek-v3,LLM,deepseek,8,The book the author the publisher the editor reviewed revised approved published.
deepseek-v3,LLM,deepseek,8,The painting the artist the gallery the curator examined framed displayed unveiled.
deepseek-v3,LLM,deepseek,8,The software the developer the client the tester debugged optimized deployed launched.
deepseek-v3,LLM,deepseek,8,The sculpture the sculptor the museum the director polished mounted showcased celebrated.
deepseek-v3,LLM,deepseek,8,The film the director the studio the producer edited promoted premiered screened.
deepseek-v3,LLM,deepseek,16,the book the author the editor the reader writes edits publishes reads.
deepseek-v3,LLM,deepseek,16,the cake the baker the decorator the customer bakes decorates delivers enjoys.
deepseek-v3,LLM,deepseek,16,the song the composer the singer the audience composes performs listens applauds.
deepseek-v3,LLM,deepseek,16,the painting the artist the curator the viewer creates displays admires critiques.
deepseek-v3,LLM,deepseek,16,the code the developer the tester the user writes tests debugs uses.
deepseek-v3,LLM,deepseek,17,the book the author the revised the editor published reviewed edited finalized.
deepseek-v3,LLM,deepseek,17,the painting the artist the intricate the curator displayed analyzed restored showcased.
deepseek-v3,LLM,deepseek,17,the software the developer the updated the tester debugged optimized deployed launched.
deepseek-v3,LLM,deepseek,17,the sculpture the sculptor the polished the gallery exhibited admired photographed acquired.
deepseek-v3,LLM,deepseek,17,the recipe the chef the perfected the apprentice prepared tasted adjusted served.
deepseek-v3,LLM,deepseek,20,The book the teacher the student the principal recommended reviewed approved astonished.
deepseek-v3,LLM,deepseek,20,The cake the baker the customer the manager decorated served admired delighted.
deepseek-v3,LLM,deepseek,20,The painting the artist the curator the director created displayed discussed inspired.
deepseek-v3,LLM,deepseek,20,The song the musician the producer the listener composed performed recorded moved.
deepseek-v3,LLM,deepseek,20,The plan the engineer the architect the client designed proposed implemented impressed.
deepseek-v3,LLM,deepseek,21,The book the teacher the student the librarian read discussed analyzed vanished.
